"Evaluate/step_episode","long_rainbowmini_2025-05-25_11-32-15 - _step","long_rainbowmini_2025-05-25_11-32-15 - _step__MIN","long_rainbowmini_2025-05-25_11-32-15 - _step__MAX","long_rainbowmini_2025-05-25_11-32-15 - Evaluate/EpRet","long_rainbowmini_2025-05-25_11-32-15 - Evaluate/EpRet__MIN","long_rainbowmini_2025-05-25_11-32-15 - Evaluate/EpRet__MAX","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step__MIN","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step__MAX","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpRet","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpRet__MIN","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpRet__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpRet","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpRet__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpRet__MAX"
"0","5919","5919","5919","-2.047999858856201","-2.047999858856201","-2.047999858856201","5832","5832","5832","-2.3480000495910645","-2.3480000495910645","-2.3480000495910645","5899","5899","5899","-2.0480000972747803","-2.0480000972747803","-2.0480000972747803"
"1","5921","5921","5921","2.7860002517700195","2.7860002517700195","2.7860002517700195","5834","5834","5834","2.9149999618530273","2.9149999618530273","2.9149999618530273","5901","5901","5901","2.996999740600586","2.996999740600586","2.996999740600586"
"2","5923","5923","5923","2.7910001277923584","2.7910001277923584","2.7910001277923584","5836","5836","5836","3.047999858856201","3.047999858856201","3.047999858856201","5903","5903","5903","2.99399995803833","2.99399995803833","2.99399995803833"
"3","5925","5925","5925","-1.7980000972747803","-1.7980000972747803","-1.7980000972747803","5838","5838","5838","-2.0980000495910645","-2.0980000495910645","-2.0980000495910645","5905","5905","5905","-1.7979999780654907","-1.7979999780654907","-1.7979999780654907"
"4","5927","5927","5927","3.3259999752044678","3.3259999752044678","3.3259999752044678","5840","5840","5840","3.2739996910095215","3.2739996910095215","3.2739996910095215","5907","5907","5907","3.125","3.125","3.125"
"5","5929","5929","5929","3.134000062942505","3.134000062942505","3.134000062942505","5842","5842","5842","3.1670002937316895","3.1670002937316895","3.1670002937316895","5909","5909","5909","3.1619997024536133","3.1619997024536133","3.1619997024536133"
"6","5931","5931","5931","3.288999557495117","3.288999557495117","3.288999557495117","5844","5844","5844","-2.0980000495910645","-2.0980000495910645","-2.0980000495910645","5911","5911","5911","-1.7980000972747803","-1.7980000972747803","-1.7980000972747803"
"7","5933","5933","5933","3.245000123977661","3.245000123977661","3.245000123977661","5846","5846","5846","3.198000192642212","3.198000192642212","3.198000192642212","5913","5913","5913","3.1429996490478516","3.1429996490478516","3.1429996490478516"
"8","5935","5935","5935","3.3899996280670166","3.3899996280670166","3.3899996280670166","5848","5848","5848","3.197999954223633","3.197999954223633","3.197999954223633","5915","5915","5915","3.2400002479553223","3.2400002479553223","3.2400002479553223"
"9","6046","6046","6046","-2.0480000972747803","-2.0480000972747803","-2.0480000972747803","6019","6019","6019","-2.3480002880096436","-2.3480002880096436","-2.3480002880096436","6087","6087","6087","-2.0480000972747803","-2.0480000972747803","-2.0480000972747803"
"10","6048","6048","6048","2.7210001945495605","2.7210001945495605","2.7210001945495605","6021","6021","6021","2.9809999465942383","2.9809999465942383","2.9809999465942383","6089","6089","6089","2.8480000495910645","2.8480000495910645","2.8480000495910645"
"11","6050","6050","6050","2.9019999504089355","2.9019999504089355","2.9019999504089355","6023","6023","6023","2.933000087738037","2.933000087738037","2.933000087738037","6091","6091","6091","2.857999801635742","2.857999801635742","2.857999801635742"
"12","6052","6052","6052","2.9139997959136963","2.9139997959136963","2.9139997959136963","6025","6025","6025","-2.0980000495910645","-2.0980000495910645","-2.0980000495910645","6093","6093","6093","-1.7980000972747803","-1.7980000972747803","-1.7980000972747803"
"13","6054","6054","6054","3.248999834060669","3.248999834060669","3.248999834060669","6027","6027","6027","3.2829999923706055","3.2829999923706055","3.2829999923706055","6095","6095","6095","3.181000232696533","3.181000232696533","3.181000232696533"
"14","6056","6056","6056","3.134999990463257","3.134999990463257","3.134999990463257","6029","6029","6029","3.1589999198913574","3.1589999198913574","3.1589999198913574","6097","6097","6097","3.181000232696533","3.181000232696533","3.181000232696533"
"15","6058","6058","6058","1.0619995594024658","1.0619995594024658","1.0619995594024658","6031","6031","6031","-2.0980000495910645","-2.0980000495910645","-2.0980000495910645","6099","6099","6099","2.9719998836517334","2.9719998836517334","2.9719998836517334"
"16","6060","6060","6060","3.1640002727508545","3.1640002727508545","3.1640002727508545","6033","6033","6033","3.2869997024536133","3.2869997024536133","3.2869997024536133","6101","6101","6101","3.37399959564209","3.37399959564209","3.37399959564209"
"17","6062","6062","6062","3.376000165939331","3.376000165939331","3.376000165939331","6035","6035","6035","3.2259998321533203","3.2259998321533203","3.2259998321533203","6103","6103","6103","3.2259998321533203","3.2259998321533203","3.2259998321533203"
"18","6233","6233","6233","-2.0480000972747803","-2.0480000972747803","-2.0480000972747803","6199","6199","6199","-2.0480000972747803","-2.0480000972747803","-2.0480000972747803","6267","6267","6267","-2.047999858856201","-2.047999858856201","-2.047999858856201"
